Date,Open,High,Low,Close,Volume
03/14/2023,"1,616.00","1,617.00","1,615.00","1,617.00","2,560"
03/13/2023,"1,617.00","1,617.00","1,615.00","1,616.99","1,482"
03/10/2023,"1,615.00","1,617.00","1,615.00","1,617.00","1,546"
03/09/2023,"1,615.00","1,617.00","1,615.00","1,615.00","3,354"
03/07/2023,"1,617.00","1,617.00","1,615.00","1,617.00","469"
03/06/2023,"1,617.00","1,617.00","1,615.00","1,617.00","2,476"
03/03/2023,"1,617.00","1,618.99","1,615.00","1,618.70","2,766"
03/02/2023,"1,615.00","1,618.98","1,615.00","1,617.00","289"
03/01/2023,"1,618.89","1,618.90","1,615.00","1,615.00","343"
02/28/2023,"1,615.01","1,619.00","1,615.00","1,618.89","207"
02/27/2023,"1,619.00","1,619.00","1,615.00","1,615.00","1,818"
02/24/2023,"1,619.00","1,619.99","1,615.00","1,619.00","1,292"
02/23/2023,"1,615.00","1,619.99","1,615.00","1,619.00","461"
02/22/2023,"1,615.00","1,620.00","1,615.00","1,618.00","1,261"
02/21/2023,"1,616.00","1,619.98","1,615.00","1,619.70","602"
02/20/2023,"1,619.96","1,623.00","1,615.00","1,616.00","3,624"
02/17/2023,"1,617.00","1,625.00","1,615.00","1,619.96","1,390"
02/16/2023,"1,617.00","1,617.00","1,615.00","1,617.00","1,236"
02/15/2023,"1,617.00","1,617.00","1,615.00","1,617.00","7,455"
02/14/2023,"1,615.10","1,617.00","1,615.01","1,617.00","773"
02/13/2023,"1,617.00","1,617.00","1,615.00","1,617.00","815"
02/10/2023,"1,616.99","1,617.00","1,615.02","1,617.00","800"
02/09/2023,"1,623.98","1,624.00","1,616.30","1,616.99","1,030"
02/08/2023,"1,623.00","1,623.99","1,617.00","1,623.98","355"
02/07/2023,"1,623.00","1,623.45","1,615.02","1,623.45","548"
02/06/2023,"1,620.00","1,623.43","1,615.00","1,623.20","628"
02/03/2023,"1,624.35","1,625.84","1,615.00","1,620.97","828"
02/02/2023,"1,621.90","1,625.84","1,616.00","1,624.00","239"
02/01/2023,"1,622.95","1,624.24","1,615.00","1,621.90","1,597"
01/31/2023,"1,615.01","1,624.45","1,615.00","1,622.00","517"
01/30/2023,"1,615.00","1,627.00","1,615.00","1,619.96","1,167"
01/27/2023,"1,622.98","1,627.38","1,615.00","1,615.09","799"
01/26/2023,"1,623.00","1,624.00","1,615.12","1,615.39","514"
01/25/2023,"1,623.73","1,623.76","1,615.02","1,623.00","297"
01/24/2023,"1,624.97","1,624.99","1,615.00","1,615.59","1,689"
01/23/2023,"1,616.02","1,625.00","1,615.00","1,624.99","3,435"
01/20/2023,"1,617.00","1,625.00","1,615.00","1,616.02","1,501"
01/19/2023,"1,615.00","1,624.99","1,615.00","1,617.00","566"
01/18/2023,"1,620.00","1,624.99","1,615.00","1,615.00","871"
01/17/2023,"1,619.00","1,624.89","1,615.00","1,620.00","768"
01/16/2023,"1,615.00","1,623.99","1,615.00","1,619.00","1,992"
01/13/2023,"1,619.00","1,623.00","1,615.00","1,615.06","382"
01/12/2023,"1,618.00","1,619.00","1,615.00","1,618.50","502"
01/11/2023,"1,626.94","1,626.94","1,616.94","1,618.00","184"
01/10/2023,"1,618.00","1,626.99","1,615.00","1,625.90","1,318"
01/09/2023,"1,618.98","1,619.00","1,615.00","1,616.00","414"
01/06/2023,"1,615.01","1,620.00","1,615.00","1,619.99","1,425"
01/05/2023,"1,615.00","1,620.00","1,615.00","1,619.00","7,538"
01/04/2023,"1,620.01","1,627.39","1,615.00","1,619.98","1,156"
12/30/2022,"1,615.00","1,627.40","1,615.00","1,620.02","860"
12/29/2022,"1,601.65","1,610.00","1,598.00","1,610.00","4,987"
12/28/2022,"1,595.00","1,601.65","1,595.00","1,601.65","945"
12/27/2022,"1,595.00","1,599.99","1,585.01","1,599.99","1,277"
12/26/2022,"1,599.00","1,599.99","1,585.00","1,595.00","2,092"
